latitude,longitude,num_bikes,uniqueId,ll,restaurants,name,rating,address
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,The Golden Horn Turkish Bakery & Cafe,5.0,"2857 Cambie Street, Vancouver, BC V5Z 3Y8, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,Blaze Gourmet Burgers,5.0,"43 E 5th Avenue, Vancouver, BC V5T 1G7, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,Pizza Rubato Napoletana,5.0,"561 W Broadway, Vancouver, BC V5Z 1E6, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,Jitlada,5.0,"118 W 6th Avenue, Vancouver, BC V5Y 1K6, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,Pizzamia Gourmet Pizza Bar,4.5,"407 W Broadway, Vancouver, BC V5Y 1R4, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,La Taqueria Food Truck,4.5,"Vancouver, BC, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,Happy Wood BBQ House,4.5,"967 West Broadway, Vancouver, BC V5Z 1K3, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,Convivial Cafe and Bakery,4.5,"680A Leg In Boot Square, Vancouver, BC V5Z 4B4, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,Superbaba,4.5,"2419 Main St, Vancouver, BC V5T 3E1, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,Rolling Cashew,4.5,"401 Industrial Avenue, Vancouver, BC V6A 2P8, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,Side Hustle Sandwiches,4.5,"151 E 8th Avenue, Vancouver, BC V5T 1R8, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,Seaport City Seafood Restaurant,4.5,"2425 Cambie Street, Vancouver, BC V5Z 4M5, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,Tatta Chulha,4.5,"147 E Broadway, Vancouver, BC V5T 1W1, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,Deja Brew,4.5,"943 W Broadway, Unit 160, Vancouver, BC V5Z 4E1, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,Mangia Cucina & Bar,4.5,"2211 Manitoba St, Vancouver, BC V5Y 3A3, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,Cilantro Indian Cuisine,4.5,"189 W Broadway, Vancouver, BC V5Y 1P4, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,The Real Patty Co,5.0,"Delta, BC V4C 4M5, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,Pizzeria Grano,4.5,"3240 Main Street, Vancouver, BC V5V 3M5, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,Taco Nori Sushi Tacos,4.5,"118 West 6th Avenue, Vancouver, BC V5Y 1K6, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,River's Sushi,5.0,"678 W Broadway, Vancouver, BC V5Z 1G1, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,Elephant Garden Creamery,4.5,"2080 Commercial Dr, Vancouver, BC V5N 1L4, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,Indian Roti Kitchen,4.5,"2961 Cambie Street, Vancouver, BC V5Z 2V7, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,Cafe Tica,4.5,"2408 Alberta Street, Vancouver, BC V5Y 3Y6, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,Halfday Tea + Flower,4.5,"895  W Broadway, Vancouver, BC V5Z 3T2, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,Sushi Hil,4.5,"3330 Main Street, Vancouver, BC V5V 3M7, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,Takenaka,4.5,"1370 Georgia Street, Vancouver, BC V5L 2A8, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,La Ruota,4.5,"2325 Cambie Street, Vancouver, BC V5Z 2T9, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,Simit Bakery,4.5,"191 West Broadway, Vancouver, BC V5Y 1P4, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,Uma Sushi,4.5,"450 W 8th Avenue, Vancouver, BC V5Y 1N9, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,Maizal RMF,4.5,"2815 Main Street, Vancouver, BC V5T 3G1, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,Cafe & Life Co.,4.5,"511 W 7th Avenue, Suite 117, Vancouver, BC V5Z 2T5, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,Yu Shang Hot Pot,4.5,"202-950 W Broadway, Vancouver, BC V5Z 1K7, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,Gusto A Taste of Italy,4.5,"1610 Salt St, Vancouver, BC V5Y 0E4, Canada"
49.262487,-123.114397,21,7a19c49f486d7c0c02b3685d7b240448,"49.262487,-123.114397",50,Pokerrito,5.0,"350 W 8th Avenue, Vancouver, BC V5Y 3X2, Canada"
